GO:0001069 GO:0001070
GO:0001068 GO:0001070
GO:0001046 GO:0016987
GO:0001018 GO:0034246
GO:0001016 GO:0106250
GO:0001001 GO:0034246
GO:0047154 GO:0019657
GO:0047146 GO:0045122
GO:0047145 GO:0045122
GO:0047141 GO:0019454
GO:0050354 GO:0061624
GO:0050354 GO:0061625
GO:0050308 GO:0036008
GO:0050307 GO:0036008
GO:0050304 GO:0019333
GO:0016301 GO:0038086
GO:0016301 GO:0061762
GO:0016301 GO:0006096
GO:0016301 GO:0061610
GO:0016301 GO:0038190
GO:0016301 GO:0061611
GO:0016301 GO:0061681
GO:0016301 GO:0061705
GO:0016301 GO:0061728
GO:0016301 GO:0061722
GO:0016301 GO:0006657
GO:0016301 GO:0036008
GO:0016301 GO:0140651
GO:0016301 GO:0061624
GO:0016301 GO:0038200
GO:0016301 GO:0061719
GO:0016301 GO:0019660
GO:0016301 GO:0140380
GO:0016301 GO:0019574
GO:0008443 GO:0019655
GO:0008443 GO:0019657
GO:0008443 GO:0061615
GO:0008443 GO:0019661
GO:0016298 GO:0030265
GO:0046469 GO:0002391
GO:0046486 GO:0002391
GO:0042575 GO:0030894
GO:0046496 GO:0019660
GO:0046496 GO:0006098
GO:0042562 GO:0004980
GO:0042562 GO:0038198
GO:0042562 GO:0042654
GO:0042562 GO:0005006
GO:0042562 GO:0043404
GO:0042562 GO:0097003
GO:0042562 GO:0005009
GO:0042562 GO:0035472
GO:0042562 GO:0004968
GO:0042562 GO:0004978
GO:0042562 GO:0004948
GO:0016208 GO:0061762
GO:0016208 GO:0004679
GO:0008528 GO:0001698
GO:0050187 GO:0140651
GO:0001640 GO:0007196
GO:0050119 GO:0052776
GO:0050108 GO:0046211
GO:0042438 GO:0075043
GO:0034755 GO:0033215
GO:0034755 GO:0033214
GO:0008409 GO:0007534
GO:0008409 GO:0110025
GO:0008409 GO:0000729
GO:0005884 GO:0098858
GO:0005884 GO:0032432
GO:0005884 GO:1990819
GO:0005884 GO:0098862
GO:0005884 GO:0062201
GO:0002078 GO:0007340
GO:0003995 GO:0033539
GO:0003984 GO:0009099
GO:0003984 GO:0019650
GO:0003964 GO:0032203
GO:0003964 GO:0039692
GO:0003964 GO:0001171
GO:0003964 GO:0007004
GO:0003964 GO:0039688
GO:0046625 GO:0120016
GO:0036469 GO:0140380
GO:0042393 GO:0140566
GO:0042393 GO:0140713
GO:0042391 GO:0019226
GO:0042391 GO:0098874
GO:0042391 GO:0098976
GO:0042391 GO:0098977
GO:0016004 GO:0007200
GO:0034693 GO:0071015
GO:0042327 GO:0031954
GO:0042592 GO:0033214
GO:0042325 GO:0031952
GO:0034655 GO:0071030
GO:0034655 GO:0006272
GO:0034655 GO:0071031
GO:0034655 GO:0019660
GO:0034655 GO:0006273
GO:0034654 GO:0039692
GO:0034654 GO:0009777
GO:0034654 GO:0007534
GO:0034654 GO:0022616
GO:0034654 GO:0006119
GO:0034654 GO:0039703
GO:0034654 GO:0006260
GO:0034654 GO:0039688
GO:0034654 GO:0098039
GO:0003872 GO:0019655
GO:0003872 GO:0019657
GO:0003872 GO:0061615
GO:0003872 GO:0019661
GO:0003839 GO:2001310
GO:0003824 GO:0019467
GO:0003824 GO:0043773
GO:0003824 GO:0016236
GO:0003824 GO:0042128
GO:0003824 GO:0052889
GO:0003824 GO:0061762
GO:0003824 GO:0048102
GO:0003824 GO:0043490
GO:0003824 GO:0061720
GO:0003824 GO:0000045
GO:0003824 GO:0061721
GO:0003824 GO:0140676
GO:0003824 GO:0033215
GO:0003824 GO:0032324
GO:0003824 GO:0032203
GO:0003824 GO:0030265
GO:0003824 GO:0001171
GO:0003824 GO:0007004
GO:0003824 GO:0006635
GO:0003824 GO:0110025
GO:0003824 GO:0036008
GO:0003824 GO:0061679
GO:0003824 GO:0010134
GO:0003824 GO:0052776
GO:0003824 GO:0036241
GO:0003824 GO:0061719
GO:0003824 GO:0019660
GO:0003824 GO:0019420
GO:0003824 GO:0019513
GO:0003824 GO:0061610
GO:0003824 GO:0061611
GO:0003824 GO:0001680
GO:0003824 GO:0031147
GO:0003824 GO:1902756
GO:0003824 GO:0007534
GO:0003824 GO:0061722
GO:0003824 GO:0006127
GO:0003824 GO:0033361
GO:0003824 GO:0033362
GO:0003824 GO:0015399
GO:0003824 GO:0140380
GO:0003824 GO:0019398
GO:0003824 GO:0038086
GO:0003824 GO:0039692
GO:0003824 GO:0002927
GO:0003824 GO:0019248
GO:0003824 GO:0018315
GO:0003824 GO:0016579
GO:0003824 GO:0006096
GO:0003824 GO:0007189
GO:0003824 GO:1903575
GO:0003824 GO:0006098
GO:0003824 GO:0036507
GO:0003824 GO:0061739
GO:0003824 GO:0140657
GO:0003824 GO:0006657
GO:0003824 GO:0140651
GO:0003824 GO:0034604
GO:0003824 GO:0019243
GO:0003824 GO:0038200
GO:0003824 GO:0070268
GO:0003824 GO:0019244
GO:0003824 GO:0033353
GO:0003824 GO:0019456
GO:0003824 GO:0019379
GO:0003824 GO:0019455
GO:0003824 GO:0000735
GO:0003824 GO:0009051
